
[Name]
Meridional Surface Copy

[Data]
B Radius ACA on Meridional Surface Copy [ m ], B Rho ACA on Meridional Surface Copy [ kg m^-3 ], B Trr ACA on Meridional Surface Copy [ Pa ], B Trt ACA on Meridional Surface Copy [ Pa ], B Trz ACA on Meridional Surface Copy [ Pa ], B Ttt ACA on Meridional Surface Copy [ Pa ], B Tzt ACA on Meridional Surface Copy [ Pa ], B Tzz ACA on Meridional Surface Copy [ Pa ], B Z Cordinate ACA on Meridional Surface Copy [ m ]
1.78148165e-01, 1.01794910e+00, 8.28050781e+04, 1.41849597e+03, 4.94913232e+03, 8.63109141e+04, 6.92579053e+03, 1.07267188e+05, -1.06140436e-03
1.78631395e-01, 1.03087616e+00, 8.27504141e+04, 7.77460815e+02, 5.68733301e+03, 8.40376563e+04, 3.60831299e+03, 1.11616617e+05, -1.06128247e-03
1.79597184e-01, 1.04261982e+00, 8.24892813e+04, 1.21044144e+02, 6.35302051e+03, 8.16157266e+04, 1.58421188e+02, 1.16206406e+05, -1.06103905e-03
1.80563480e-01, 1.03973019e+00, 8.20964063e+04, 1.21089813e+02, 6.18698242e+03, 8.13503672e+04, 2.96835022e+01, 1.16528242e+05, -1.06079597e-03
1.81530535e-01, 1.03639817e+00, 8.17272344e+04, 1.49768036e+02, 6.00842383e+03, 8.11038125e+04, 3.63700714e+01, 1.16701313e+05, -1.06055336e-03
1.82497352e-01, 1.03337169e+00, 8.13769766e+04, 1.71761032e+02, 5.83708789e+03, 8.08491563e+04, 3.91570129e+01, 1.16886352e+05, -1.06031075e-03
1.83463573e-01, 1.03065038e+00, 8.10484609e+04, 1.87741577e+02, 5.66265527e+03, 8.06023828e+04, 3.85169640e+01, 1.17073672e+05, -1.06006814e-03
1.84430271e-01, 1.02827573e+00, 8.07509688e+04, 1.98707184e+02, 5.48431689e+03, 8.03743594e+04, 4.22404327e+01, 1.17260445e+05, -1.05982518e-03
1.85397863e-01, 1.02608621e+00, 8.04704922e+04, 2.06207275e+02, 5.30352051e+03, 8.01543438e+04, 5.04869385e+01, 1.17445313e+05, -1.05958199e-03
1.86364233e-01, 1.02412236e+00, 8.02176484e+04, 2.11531158e+02, 5.12625586e+03, 7.99523594e+04, 6.80978775e+01, 1.17628984e+05, -1.05933950e-03
1.87330112e-01, 1.02254713e+00, 8.00102031e+04, 2.14118439e+02, 4.95440332e+03, 7.97838750e+04, 9.94979172e+01, 1.17813109e+05, -1.05909701e-03
1.88297078e-01, 1.02107334e+00, 7.98163828e+04, 2.16831299e+02, 4.78280420e+03, 7.96261719e+04, 1.35346252e+02, 1.18000469e+05, -1.05885474e-03
1.89262047e-01, 1.01974916e+00, 7.96343438e+04, 2.16983490e+02, 4.60890820e+03, 7.94771016e+04, 1.61668060e+02, 1.18172859e+05, -1.05861248e-03
1.90227836e-01, 1.01872206e+00, 7.94738125e+04, 2.11903412e+02, 4.43366357e+03, 7.93440156e+04, 1.73793335e+02, 1.18322906e+05, -1.05836894e-03
1.91195041e-01, 1.01793098e+00, 7.93367031e+04, 2.06827240e+02, 4.25701270e+03, 7.92342031e+04, 1.82258362e+02, 1.18470711e+05, -1.05812505e-03
1.92161635e-01, 1.01715159e+00, 7.92003750e+04, 2.00505295e+02, 4.08149585e+03, 7.91197422e+04, 1.88005188e+02, 1.18612797e+05, -1.05788140e-03
1.93129539e-01, 1.01658010e+00, 7.90814688e+04, 1.89909164e+02, 3.91292773e+03, 7.90108438e+04, 1.93686798e+02, 1.18748102e+05, -1.05763751e-03
1.94095731e-01, 1.01627052e+00, 7.89909688e+04, 1.79611145e+02, 3.74757959e+03, 7.89275625e+04, 2.01735703e+02, 1.18883828e+05, -1.05739315e-03
1.95061743e-01, 1.01601529e+00, 7.89052813e+04, 1.69901337e+02, 3.58158691e+03, 7.88488281e+04, 2.03023163e+02, 1.19014813e+05, -1.05714798e-03
1.96028277e-01, 1.01606870e+00, 7.88456875e+04, 1.58165161e+02, 3.42300586e+03, 7.87927500e+04, 2.03879333e+02, 1.19153406e+05, -1.05690199e-03
1.96994558e-01, 1.01634109e+00, 7.88054375e+04, 1.45606003e+02, 3.26862891e+03, 7.87540469e+04, 2.03580231e+02, 1.19296703e+05, -1.05665531e-03
