[Name],,
BLD GEO HIGH,,
,,
[Data],,
Radius [ m ], theta [ degree ], X [ m ]
0.186785743,3.754346132,0.039346308
0.186761454,3.753868103,0.039352696
0.186569542,3.56142354,0.038160481
0.186594024,3.561722279,0.038153891
0.186363086,3.348502398,0.036891427
0.186387777,3.348615646,0.03688468
0.186147541,3.11734271,0.03556814
0.186172441,3.11728096,0.035561282
0.185915112,2.868946791,0.034208808
0.185940251,2.868718624,0.034201913
0.185653061,2.601653576,0.032816943
0.185678437,2.601269722,0.032810099
0.186819434,3.755006313,0.039337449
0.186627984,3.562133074,0.038144752
0.186422035,3.348769665,0.036875326
0.186206967,3.117192268,0.035551775
0.185975075,2.86839962,0.034192357
0.185713634,2.600733995,0.032800611
0.186866164,3.755916834,0.039325166
0.186675102,3.562698126,0.038132083
0.18646951,3.348977804,0.036862362
0.186254874,3.117063999,0.035538599
0.186023399,2.867951632,0.03417911
0.185762435,2.599986553,0.032787465
0.186930969,3.757169724,0.039308153
0.186740384,3.563472509,0.038114533
0.186535373,3.349256039,0.036844399
0.186321273,3.116876364,0.035520345
0.18609041,2.867320776,0.034160759
0.185830131,2.598941565,0.032769252
0.187020853,3.758888721,0.039284583
0.186830953,3.56452775,0.038090222
0.186626703,3.349623203,0.036819521
0.186413378,3.116596222,0.035495065
0.186183333,2.866427898,0.034135345
0.185923979,2.597475052,0.032744031
0.187145501,3.76123786,0.03925195
0.18695654,3.565956116,0.038056564
0.186753348,3.350095749,0.036785085
0.18654108,3.116171122,0.035460077
0.186312199,2.865154266,0.034100175
0.186054111,2.595409393,0.032709129
0.187318325,3.764429331,0.039206795
0.187130734,3.56787014,0.038009994
0.186928973,3.350681543,0.036737449
0.186718181,3.115511179,0.035411686
0.186490893,2.863320827,0.034051541
0.186234593,2.592481852,0.032660868
0.18755804,3.768727303,0.039144371
0.187372282,3.570397139,0.037945621
0.187172532,3.351363659,0.036671616
0.186963812,3.114462137,0.035344828
0.186738715,2.860649824,0.033984352
0.186484858,2.588303566,0.032594211
0.187890515,3.77444458,0.03905819
0.18770729,3.573661089,0.03785675
0.187510341,3.352066755,0.036580764
0.187304422,3.112756014,0.035252601
0.18708235,2.856703997,0.033891689
0.186831892,2.582283258,0.032502294
0.188351661,3.781917095,0.038939416
0.188171953,3.577735186,0.037734292
0.187978849,3.352593184,0.036455605
0.187776834,3.109927177,0.035125628
0.187558964,2.850776196,0.033764169
0.187313154,2.573507071,0.03237585
0.188991368,3.791423082,0.038776193
0.188816503,3.582543135,0.03756601
0.188628674,3.352516174,0.036283646
0.188432083,3.105166674,0.034951329
0.188220009,2.841711521,0.033589266
0.187980592,2.560536146,0.032202516
0.189878538,3.802611828,0.038550448
0.189710304,3.587244272,0.037333447
0.189529702,3.350569487,0.036046077
0.189340591,3.096677303,0.034710959
0.189136446,2.827223778,0.033348478
0.188905835,2.540661812,0.031964276
0.191109806,3.815114498,0.038242545
0.190950707,3.590763569,0.037016395
0.190779954,3.345082998,0.035722073
0.190601066,3.082199812,0.034383439
0.190407872,2.804369926,0.033021059
0.190189362,2.510322094,0.031641036
0.192818955,3.82626462,0.037821453
