R,Rho,Trr,Trt,Trz,Ttt,Tzt,Tzz,Z,Lamda
0.178434581,0.985484242,80930.0781,2195.13965,5675.0376,90055.0781,10930.8418,106363.828,0.00106209423,0.959491018098918
0.178747237,0.998746097,80931.6875,1410.1449,6660.47656,85816.3672,7102.25293,111276.328,0.00100029784,0.961877131106223
0.179374456,1.01288748,80604.2109,501.425293,7746.90332,81056.9688,2265.96729,117097.047,0.000876197475,0.965677497945647
0.180001527,1.01055908,79884.125,410.995544,7698.56152,80302.6875,1085.89197,117861.063,0.000752100372,0.972062168062361
0.180626109,1.00450897,79161.7344,454.649292,7383.66309,79790.1953,743.015747,117529.672,0.000629055779,0.978879207082021
0.181251526,1.00150323,78799.3594,479.451904,7047.6416,79503.5625,411.440948,117294.797,0.000510890444,0.986618286752507
0.181878477,1.00394559,79003.9766,501.185242,6725.89355,79673.375,191.676727,117365.313,0.00039900816,1
0.18250604,1.00681686,79186.875,473.13269,6470.2749,79658.3906,107.191124,117505.156,0.000289629388,1
0.183132648,1.00685763,79061.3594,422.346558,6267.60742,79342.0938,74.290802,117553.563,0.000181287527,1
0.183759868,1.00654721,78942.2266,399.269287,6071.87598,79152.1719,68.795578,117615.828,7.4331394e-05,1
0.184388235,1.00676966,78885.4531,379.120697,5886.69141,79048.9844,68.7407837,117676.828,-2.84053931e-05,1
0.185018867,1.00746632,78876.7344,356.901672,5707.14453,78995.5313,60.9601517,117718.438,-0.000127986787,1
0.185647845,1.00803614,78862.0313,338.724304,5523.58887,78950.2813,46.0999184,117746.086,-0.000226859091,1
0.186276197,1.00883555,78879.9922,323.386047,5349.32422,78942.8984,44.1274033,117787.852,-0.000321758271,1
0.18690753,1.01015973,78960.1563,310.985352,5192.2085,79000.875,60.9639359,117864.078,-0.000410582172,1
0.187537685,1.01137471,79027.2188,297.095459,5045.53223,79044.1484,79.8845596,117951.438,-0.000496316294,1
0.188170031,1.01239645,79074.5859,283.948792,4900.4248,79071.0078,103.97937,118043.484,-0.000582130044,1
0.188803062,1.01328433,79111.8281,273.142151,4755.13721,79093.8438,128.189423,118136.938,-0.000667537679,1
0.18943575,1.01417363,79146.2422,258.642578,4615.21387,79108.7734,140.904663,118217.938,-0.000748476654,1
0.19006896,1.01526022,79201.5547,245.051178,4483.70752,79152.6797,157.039978,118310.672,-0.000824178918,1
